"Evaluador","Obsevación","N Modelo","ID","Instrumento","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","mm_13_23","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","mm_43_33"
3,1,4,27,"Vernier",9.78,7.08,7.38,9.07,7.05,7.66,23.07,21.94,36.33,5.79,6.13,6.71,5.99,5.97,6.35,17.78,17.2,27.63
3,1,5,50,"Vernier",9.34,6.77,7.52,9.48,7.32,7.99,24.13,24.84,40.07,5.27,6.12,7.26,5.78,6.08,7.34,16.41,17.7,31.31
3,1,6,55,"Vernier",7.75,5.18,7.54,7.64,5.21,7.72,21.65,21.35,34.99,5.46,5.49,6.05,4.88,5.6,6.32,15.92,16.61,27.36
3,1,7,60,"Vernier",8.04,6.35,7.82,8.06,6.24,7.59,21.39,20.87,36.09,5.32,5.63,6.34,4.67,5.74,5.89,16.11,16.96,28.08
3,1,8,71,"Vernier",8.63,6.79,7.39,7.91,6.05,7.02,21.98,20.32,36.93,5.04,5.6,6.98,5.06,5.42,6.72,16.54,16.72,28.65
3,1,9,76,"Vernier",9.31,7.07,7.68,8.84,6.73,7.83,21.76,21.08,36.46,5.52,5.94,6.76,5.63,6.15,6.6,17.65,15.67,28.87
3,1,10,79,"Vernier",7.7,7.02,NA,8.14,6.49,7.61,0,23.03,0,5.12,6.11,6.68,5.07,5.58,6.22,16.91,17.45,25.54
3,1,11,95,"Vernier",8.43,6.8,7.27,8.63,6.69,7.94,23.61,23.26,34.55,5.49,5.77,6.5,5.56,6.13,6.89,15.93,17.07,26.19
3,1,12,116,"Vernier",8.69,6.52,7.32,8.34,6.48,8.03,22.77,21.56,33.95,5.16,5.69,7.11,4.88,6.08,6.19,17.05,17.17,27.86
3,1,13,130,"Vernier",8.73,6.28,8.22,8.24,7.09,8.31,23.77,23.88,39.02,6.37,6.93,6.26,7.07,5.87,7.15,19.47,21.79,30.76
3,2,1,3,"Vernier",8.19,6.39,7.18,7.48,6.36,6.55,22.44,21.88,37.69,4.96,5.81,5.33,4.64,5.68,5.76,17.24,16.89,27.73
