"hemiarcada","ID","fuente","Sexo","Edad","Estatura","Lugar_origen","arco","cuerda_medida","cuerda_geometrica","Tmin_med","Tmax_med","acierto_med","Tmin_geo","Tmax_geo","acierto_geo"
"H4","72","Mediciones_Estatura","F",18,1.61,"CDMX",17.86,17.4,16.956,1.64,1.683,0,1.598,1.683,1
"H4","76","datos_limpios_validados","F",56,1.56,"Ciudad de México",17.97,17.83,16.851,1.68,1.694,0,1.588,1.694,0
"H4","79","datos_limpios_validados","M",19,1.63,"Estado de México",17.79,16.96,16.432,1.598,1.677,1,1.549,1.677,1
"H4","95","datos_limpios_validados","F",19,1.67,"Ciudad de México",18.175,17.235,16.765,1.624,1.713,1,1.58,1.713,1
"H4","116","datos_limpios_validados","M",22,1.71,"Ciudad de México",17.73,17.43,16.388,1.643,1.671,0,1.545,1.671,0
"H4","130","datos_limpios_validados","F",44,1.71,"Ciudad de México",20.655,19.95,19.263,1.88,1.947,0,1.816,1.947,0
"H4","9014","Mediciones_Estatura","F",20,1.42,"CDMX",19,17.95,18.053,1.692,1.791,0,1.701,1.791,0
"H4","9018","Mediciones_Estatura","F",20,1.57,"Estado de México",18.34,18.39,17.286,1.729,1.733,0,1.629,1.729,0
"H4","9027","Mediciones_Estatura","F",18,1.54,"Estado de México",17.84,17.84,16.731,1.681,1.681,0,1.577,1.681,0
"H4","9071","Mediciones_Estatura","M",18,1.55,"CDMX",17.01,17.74,16.274,1.603,1.672,0,1.534,1.603,1
"H4","sin codigo","Mediciones_Estatura","F",22,1.67,"Guanajuato",19.41,19.7,18.077,1.829,1.857,0,1.704,1.829,0
"H4","sin codigo","Mediciones_Estatura","M",22,1.6,"Estado de México",18.59,19.06,17.269,1.752,1.796,0,1.628,1.752,0
"H4","sin codigo","Mediciones_Estatura","F",21,1.64,"Estado de México",17.75,17.76,16.432,1.673,1.674,0,1.549,1.673,1
"H4","sin codigo","Mediciones_Estatura","F",19,1.56,"CDMX",18.64,18.66,17.424,1.757,1.759,0,1.642,1.757,0
"H4","sin codigo","Mediciones_Estatura","F",19,1.55,"CDMX",19.51,14.98,17.508,1.412,1.839,1,1.65,1.839,0
"H4","sin codigo","Mediciones_Estatura","F",18,1.5,"CDMX",16.43,18.04,15.764,1.548,1.7,0,1.486,1.548,1
