"hemiarcada","ID","Sexo","Edad","Estatura","Origen","arco","cuerda_medida","cuerda_geometrica","Tmin_med","Tmax_med","acierto_med","Tmin_geo","Tmax_geo","acierto_geo"
"H4",90,"F",18,1.57,"Ciudad de México",17.467,15.47,16.246,1.458,1.646,1,1.531,1.646,1
"H4",95,"F",19,1.67,"Ciudad de México",17.99,16.62,16.729,1.566,1.696,1,1.577,1.696,1
"H4",96,"F",19,1.7,"Ciudad de México",19.953,17.903,18.524,1.687,1.881,1,1.746,1.881,0
"H4",97,"F",18,1.57,"Ciudad de México",17.307,17.297,16.387,1.63,1.631,0,1.544,1.631,1
"H4",99,"M",19,1.81,"Ciudad de México",19.62,16.993,17.885,1.602,1.849,1,1.686,1.849,1
"H4",102,"F",17,1.51,"Ciudad de México",18.353,18.743,17.448,1.73,1.767,0,1.644,1.73,0
"H4",105,"F",21,1.56,"Ciudad de México",17.47,16.637,16.539,1.568,1.647,0,1.559,1.647,1
"H4",106,"F",19,1.61,"Querétaro",19.143,18.023,18.108,1.699,1.804,0,1.707,1.804,0
"H4",107,"F",43,1.62,"Ciudad de México",18.977,19.43,18.049,1.789,1.831,0,1.701,1.789,0
"H4",108,"F",20,1.67,"Ciudad de México",20.233,18.853,18.931,1.777,1.907,0,1.784,1.907,0
"H4",109,"F",54,1.53,"Michoacán",18.013,16.69,16.697,1.573,1.698,0,1.574,1.698,0
"H4",110,"M",18,1.71,"Estado de México",18.583,17.247,17.201,1.625,1.751,1,1.621,1.751,1
"H4",111,"F",19,1.63,"Ciudad de México",17.383,17.81,16.662,1.638,1.679,0,1.57,1.638,1
"H4",112,"M",20,1.66,"Ciudad de México",18.61,18.73,17.527,1.754,1.765,0,1.652,1.754,1
"H4",113,"M",47,1.75,"Ciudad de México",17.527,18.343,16.959,1.652,1.729,0,1.598,1.652,0
"H4",114,"M",29,1.69,"Ciudad de México",17.367,15.65,16.227,1.475,1.637,0,1.529,1.637,0
"H4",116,"M",22,1.71,"Ciudad de México",17.413,17.417,16.503,1.641,1.641,0,1.555,1.641,0
"H4",117,"F",23,1.59,"Estado de México",18.51,15.6,17.107,1.47,1.745,1,1.612,1.745,0
"H4",118,"F",59,1.51,"Michoacán",18.53,16.683,17.205,1.572,1.746,0,1.622,1.746,0
"H4",119,"F",32,1.56,"Ciudad de México",18.007,17.953,17.104,1.692,1.697,0,1.612,1.697,0
"H4",120,"F",48,1.55,"Michoacán",18.493,18.37,17.731,1.731,1.743,0,1.671,1.743,0
"H4",121,"F",19,1.55,"Ciudad de México",20.11,20.063,18.864,1.891,1.895,0,1.778,1.895,0
"H4",122,"F",27,1.55,"Ciudad de México",17.167,17.347,16.174,1.618,1.635,0,1.524,1.618,1
"H4",123,"M",25,1.74,"Ciudad de México",19.12,17.597,17.882,1.658,1.802,1,1.685,1.802,1
"H4",124,"F",19,1.61,"Ciudad de México",17.877,16.443,16.759,1.55,1.685,1,1.579,1.685,1
"H4",125,"M",18,1.78,"Estado de México",18.777,18.647,17.595,1.757,1.77,0,1.658,1.77,0
"H4",126,"F",19,1.45,"Estado de México",18.033,16.6,16.75,1.565,1.7,0,1.579,1.7,0
"H4",127,"F",31,1.61,"Estado de México",16.797,17.487,15.783,1.583,1.648,1,1.487,1.583,0
"H4",128,"F",25,1.67,"Ciudad de México",18.99,19.143,17.949,1.79,1.804,0,1.692,1.79,0
"H4",129,"F",25,1.58,"Estado de México",18.1,18.17,16.802,1.706,1.712,0,1.584,1.706,0
"H4",130,"F",44,1.71,"Ciudad de México",19.46,19.503,18.288,1.834,1.838,0,1.724,1.834,0
