"Evaluador","ID","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","intercanina_sup","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","intercanina_inf","Edad","Sexo","Estatura","Origen"
2,106,9.54,6.86,8.54,9.59,6.25,8.85,24.62,25.39,39.85,5.43,6.27,7.47,5.51,6.25,6.85,18.45,18.71,29.57,19,"F",1.61,"Querétaro"
2,107,9.35,7.32,7.57,8.78,7.28,7.25,24.39,22.99,39.83,5.81,5.89,7.34,6.05,6.12,7.54,19.84,17.79,30.91,43,"F",1.62,"Ciudad de México"
2,108,9.94,6.52,8.02,9.96,7.33,8.15,24.77,25.44,39.71,6.33,6.92,7.04,5.98,6.31,7.23,18.95,19.25,31.39,20,"F",1.67,"Ciudad de México"
2,109,7.95,6.84,7.22,7.79,6.68,7.51,20.26,21.54,33.49,5.47,6.29,6.29,5.01,6.55,6.58,16.75,17.24,25.63,54,"F",1.53,"Michoacán"
2,110,8.38,4.98,8.46,8.69,5.13,6.99,23.95,24.93,39.67,5.17,6.53,6.76,4.99,6.26,6.89,17.22,17.63,27.33,18,"M",1.71,"Estado de México"
2,111,7.95,7.65,6.98,8.18,7.35,6.84,23.09,22.27,38.64,5.65,5.41,5.04,5.49,5.59,5.57,17.99,16.96,29.21,19,"F",1.63,"Ciudad de México"
2,112,8.79,6.31,8.45,8.22,5.97,8.54,24.15,24.37,38.11,5.41,6.14,7.14,5.33,5.95,7.29,18.81,19.38,27.49,20,"M",1.66,"Ciudad de México"
2,113,9.17,7.86,7.82,8.83,7.53,8.03,24.77,24.17,39.28,5.39,5.68,6.31,5.49,5.71,6.21,18.43,17.85,30.58,47,"M",1.75,"Ciudad de México"
2,114,8.14,5.56,7.67,7.99,6.11,8.01,22.79,22.24,36.54,5.25,6.03,5.68,5.18,5.83,6.12,15.98,16.77,25.04,29,"M",1.69,"Ciudad de México"
2,116,8.36,6.29,7.23,8.18,5.88,8.17,22.45,21.69,31.71,5.12,5.68,6.02,5.06,6.04,6.54,17.34,17.27,29.32,22,"M",1.71,"Ciudad de México"
2,117,8.37,6.32,6.45,8.67,6.37,6.26,21.31,20.39,33.47,5.78,5.82,6.61,5.57,6.29,6.59,15.83,17.05,25.83,23,"F",1.59,"Estado de México"
2,118,8.28,6.98,8.03,8.18,6.66,7.91,22.25,22.47,37.35,4.62,6.46,7.15,5.92,6.44,7.27,16.89,17.81,27.11,59,"F",1.51,"Michoacán"
2,119,8.49,6.79,7.13,8.09,6.27,7.19,22.44,21.67,35.75,5.46,5.98,6.55,5.54,6.26,6.47,17.86,17.96,28.66,32,"F",1.56,"Ciudad de México"
2,120,8.46,7.19,8.08,8.48,6.98,8.06,23.48,23.15,35.51,5.37,6.36,6.79,5.75,6.31,6.91,18.35,19.22,31.16,48,"F",1.55,"Michoacán"
2,121,8.04,6.99,8.82,8.49,6.79,8.77,24.31,24.54,38.18,6.37,6.46,7.25,6.12,6.66,7.19,20.33,19.14,29.85,19,"F",1.55,"Ciudad de México"
2,122,8.72,6.77,7.33,8.72,6.09,7.28,27.37,22.75,34.15,5.28,5.61,6.24,4.88,5.66,6.23,17.27,17.45,26.07,27,"F",1.55,"Ciudad de México"
2,123,8.09,6.68,8.03,7.91,6.09,8.07,22.36,23.47,37.14,5.43,6.42,7.06,5.36,6.39,7.05,17.45,16.69,28.41,25,"M",1.74,"Ciudad de México"
2,124,7.49,6.35,8.31,7.67,6.42,8.13,21.78,22.44,34.98,5.25,5.83,6.58,5.19,5.82,6.78,16.42,16.47,26.48,19,"F",1.61,"Ciudad de México"
2,125,8.61,6.79,8.09,8.53,6.11,8.01,23.33,23.21,36.32,5.44,6.31,6.52,5.82,6.29,6.79,18.53,18.68,27.37,18,"M",1.78,"Estado de México"
2,126,8.54,5.82,7.41,8.36,5.89,7.25,21.54,21.68,34.22,5.15,6.26,6.55,5.24,5.79,6.25,16.56,17.08,24.51,19,"F",1.45,"Estado de México"
2,127,8.73,6.24,7.35,9.08,6.55,7.78,23.33,23.45,35.81,4.66,5.67,6.51,5.29,5.57,6.51,17.35,17.77,25.62,31,"F",1.61,"Estado de México"
2,128,7.94,7.38,7.96,8.62,7.02,8.03,23.01,23.91,38.44,5.62,6.18,6.97,5.88,6.23,6.72,18.87,19.01,29.81,25,"F",1.67,"Ciudad de México"
2,129,8.63,7.93,7.28,9.29,7.58,7.21,23.56,23.67,37.13,5.15,6.21,6.71,5.15,5.73,6.75,17.96,17.51,25.48,25,"F",1.58,"Estado de México"
2,130,8.58,6.11,8.01,8.12,6.69,7.83,23.05,23.26,38.69,6.26,7.06,6.22,6.58,5.93,6.57,19.61,21.67,29.52,44,"F",1.71,"Ciudad de México"
