"hemiarcada","ID","Sexo","Edad","Estatura","Origen","arco","cuerda_medida","cuerda_geometrica","Tmin_med","Tmax_med","acierto_med","Tmin_geo","Tmax_geo","acierto_geo"
"H4",5,"F",21,1.5,"Estado de México",16.5,16.74,15.951,1.555,1.578,0,1.503,1.555,0
"H4",6,"F",21,1.68,"Ciudad de México",16.28,15.98,15.452,1.506,1.534,0,1.456,1.534,0
"H4",7,"M",22,1.6,"Estado de México",17.46,15.24,16.503,1.436,1.646,1,1.555,1.646,1
"H4",8,"M",21,1.76,"Ciudad de México",19.19,15.72,17.721,1.482,1.809,1,1.67,1.809,1
"H4",9,"F",21,1.59,"Ciudad de México",18.97,17.17,17.997,1.618,1.788,0,1.696,1.788,0
"H4",10,"F",NA,1.56,NA,17.94,14.55,16.886,1.371,1.691,1,1.591,1.691,0
"H4",11,"F",21,1.54,"Ciudad de México",18.31,16.14,17.248,1.521,1.726,1,1.626,1.726,0
"H4",12,"F",21,1.59,"Estado de México",16.38,14.86,15.238,1.401,1.544,0,1.436,1.544,0
"H4",13,"F",21,1.64,"Estado de México",16.68,14.76,15.66,1.391,1.572,0,1.476,1.572,0
"H4",14,"F",20,1.5,"Estado de México",17.49,19.36,16.975,1.648,1.825,0,1.6,1.648,0
"H4",15,"F",21,1.57,"Ciudad de México",19.93,16.44,18.724,1.549,1.878,1,1.765,1.878,0
"H4",16,"F",22,1.5,"Ciudad de México",17.83,15.83,16.908,1.492,1.68,1,1.594,1.68,0
"H4",17,"F",20,1.42,"Ciudad de México",16.08,16.67,15.434,1.516,1.571,0,1.455,1.516,0
"H4",18,"M",21,1.61,"Estado de México",18.33,17.44,17.333,1.644,1.728,0,1.634,1.728,0
"H4",19,"F",18,1.53,"Ciudad de México",16.85,16.18,15.756,1.525,1.588,1,1.485,1.588,1
"H4",20,"F",18,1.6,"Ciudad de México",16.18,15.12,15.286,1.425,1.525,0,1.441,1.525,0
"H4",21,"F",19,1.56,"Ciudad de México",15.4,15.02,14.698,1.416,1.451,0,1.385,1.451,0
"H4",22,"F",20,1.57,"Estado de México",16.26,14.55,14.851,1.371,1.532,0,1.4,1.532,0
"H4",23,"F",19,1.61,"Querétaro",18.68,16.32,17.684,1.538,1.761,1,1.667,1.761,0
"H4",24,"F",19,1.45,"Estado de México",18.12,15.76,16.755,1.485,1.708,0,1.579,1.708,0
"H4",25,"M",18,1.78,"Estado de México",18.33,16.39,17.229,1.545,1.728,0,1.624,1.728,0
"H4",26,"F",19,1.61,"Ciudad de México",17.87,15.12,16.817,1.425,1.684,1,1.585,1.684,1
"H4",27,"F",30,1.57,"Ciudad de México",18.91,16.31,17.588,1.537,1.782,1,1.658,1.782,0
"H4",28,"F",23,1.56,"Ciudad de México",20.64,17.06,18.943,1.608,1.945,0,1.785,1.945,0
"H4",29,"F",19,1.57,"Ciudad de México",18.95,17.17,17.993,1.618,1.786,0,1.696,1.786,0
"H4",30,"F",18,1.55,"Estado de México",16.43,16.18,15.987,1.525,1.548,0,1.507,1.548,0
"H4",31,"F",18,1.54,"Estado de México",20.61,13.99,18.127,1.319,1.942,1,1.708,1.942,0
"H4",32,"M",18,1.71,"Estado de México",18.55,16.93,17.122,1.596,1.748,1,1.614,1.748,1
"H4",33,"M",18,1.61,"Ciudad de México",16.58,15.78,15.957,1.487,1.563,0,1.504,1.563,0
"H4",34,"M",18,1.55,"Ciudad de México",16.97,15.98,16.039,1.506,1.599,1,1.512,1.599,1
"H4",35,"F",18,1.61,"Ciudad de México",19.57,15.82,18.187,1.491,1.844,1,1.714,1.844,0
"H4",36,"F",20,1.67,"Ciudad de México",19.16,16.72,17.954,1.576,1.806,1,1.692,1.806,0
"H4",37,"F",19,1.62,"Ciudad de México",15.58,15.33,14.801,1.445,1.468,0,1.395,1.468,0
"H4",38,"F",21,1.56,"Ciudad de México",17.15,17.36,16.211,1.616,1.636,0,1.528,1.616,1
"H4",39,"F",19,1.55,"Ciudad de México",18.93,17.2,17.864,1.621,1.784,0,1.684,1.784,0
"H4",40,"F",23,1.51,"Estado de México",17.68,15.85,16.333,1.494,1.666,1,1.539,1.666,0
"H4",41,"F",18,1.5,"Ciudad de México",18.69,18.92,17.899,1.761,1.783,0,1.687,1.761,0
"H4",42,"M",19,1.9,"Ciudad de México",17.23,18.05,16.42,1.624,1.701,0,1.548,1.624,0
"H4",43,"F",18,1.7,"Estado de México",20.2,17.94,18.559,1.691,1.904,1,1.749,1.904,0
"H4",45,"F",18,1.58,"Ciudad de México",17.14,16.81,16.209,1.584,1.615,0,1.528,1.615,1
"H4",46,"F",19,1.6,"Ciudad de México",18.87,17.49,18.01,1.648,1.778,0,1.697,1.778,0
"H4",47,"M",18,1.62,"Ciudad de México",18.48,17.91,17.361,1.688,1.742,0,1.636,1.742,0
"H4",48,"M",18,1.63,"Querétaro",18.84,18.78,18.142,1.77,1.776,0,1.71,1.776,0
"H4",49,"F",19,1.63,"Ciudad de México",17.62,18.19,17.037,1.661,1.714,0,1.606,1.661,1
"H4",50,"F",42,1.68,"Ciudad de México",18.76,17.84,18.288,1.681,1.768,0,1.724,1.768,0
"H4",51,"F",23,1.56,"Ciudad de México",20.58,18.92,19.082,1.783,1.94,0,1.798,1.94,0
"H4",52,"F",21,1.65,"Ciudad de México",18.26,17.69,17.561,1.667,1.721,0,1.655,1.721,0
"H4",53,"F",22,1.68,"Ciudad de México",18.48,17.95,18.01,1.692,1.742,0,1.697,1.742,0
"H4",54,"F",20,1.61,"Estado de México",17.88,16.36,17.175,1.542,1.685,1,1.619,1.685,0
"H4",55,"F",20,1.55,"Ciudad de México",16.21,16.67,15.65,1.528,1.571,1,1.475,1.528,0
"H4",56,"F",20,1.54,"Ciudad de México",18.73,17.43,17.333,1.643,1.765,0,1.634,1.765,0
"H4",57,"M",19,1.89,"Ciudad de México",17.67,18.24,17.299,1.665,1.719,0,1.63,1.665,0
"H4",58,"F",20,1.57,"Ciudad de México",17.27,17.29,16.755,1.628,1.63,0,1.579,1.628,0
"H4",59,"F",32,1.57,"Puebla",18.84,17.26,18.181,1.627,1.776,0,1.714,1.776,0
"H4",60,"F",20,1.59,"Ciudad de México",16.23,16.86,15.93,1.53,1.589,0,1.501,1.53,0
"H4",61,"F",19,1.53,"Ciudad de México",19.65,17.48,18.587,1.647,1.852,0,1.752,1.852,0
"H4",62,"F",18,1.69,NA,19.38,19.07,18.409,1.797,1.827,0,1.735,1.827,0
"H4",63,"F",19,1.61,"Ciudad de México",17.75,17.23,17.288,1.624,1.673,0,1.629,1.673,0
"H4",64,"F",19,1.53,"Ciudad de México",16.04,16.31,15.561,1.512,1.537,1,1.467,1.512,0
"H4",65,"F",22,1.66,"Ciudad de México",18.02,16.28,16.99,1.534,1.698,1,1.601,1.698,1
"H4",66,"M",19,1.72,"Ciudad de México",19.76,19.64,18.735,1.851,1.862,0,1.766,1.862,0
"H4",67,"F",26,1.62,"Estado de México",18.24,18.13,17.435,1.709,1.719,0,1.643,1.719,0
"H4",68,"M",18,1.72,"Estado de México",18.66,17.96,17.882,1.693,1.759,1,1.685,1.759,1
"H4",69,"F",18,1.58,"Ciudad de México",17.58,16.58,16.735,1.563,1.657,1,1.577,1.657,1
"H4",70,"M",18,1.69,"Estado de México",17.12,17.91,16.49,1.614,1.688,0,1.554,1.614,0
"H4",72,"F",20,1.51,"Ciudad de México",17.96,17.25,17.053,1.626,1.693,0,1.607,1.693,0
"H4",73,"F",18,1.64,"Ciudad de México",19.32,17.83,17.725,1.68,1.821,0,1.671,1.821,0
"H4",74,"F",27,1.64,"Ciudad de México",18.35,18.61,16.969,1.729,1.754,0,1.599,1.729,1
"H4",75,"F",18,1.5,"Ciudad de México",18.41,15.44,17.157,1.455,1.735,1,1.617,1.735,0
"H4",76,"F",56,1.56,"Ciudad de México",18.18,17.98,17.022,1.695,1.713,0,1.604,1.713,0
"H4",77,"F",19,1.64,"Ciudad de México",17.57,16.52,16.261,1.557,1.656,1,1.533,1.656,1
